FetchDate,Company,Status,Category,Accession,Filed,Document,Description,Class/Type,Security Level,Period,Operating Revenue,Operating Expenses,Depreciation,Amortization,Grand Total,Download File Location
07/26/2022,Kinder Morgan Operating,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Koch Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Kuparuk Transportation,complete,Submittal,20220330-8003,03/30/2022,03/30/2022,Kuparuk Transportation Company submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"20,466,325","18,696,682","1,670,273","25,985","69,954,602",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/kuparuk_transportation_form6
07/26/2022,LOCAP,complete,Submittal,20220413-8003,04/13/2022,04/13/2022,LOCAP LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"38,613,089","20,975,329","3,138,783",,"227,694,368",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/locap_form6
07/26/2022,Enbridge Energy,complete,Submittal,20220416-8009,04/16/2022,04/16/2022,"Enbridge Energy, Limited Partnership submits FERC Form 6 report for 2021/Q4",Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"2,303,305,796","1,243,280,370","469,090,949",,"1,046,669,405",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/enbridge_energy_form6
07/26/2022,Williams Petroleum Pipeline System,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,MOEM Pipeline,complete,Submittal,20220404-8006,04/04/2022,04/04/2022,MOEM Pipeline LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"16,601,125","5,245,978","1,054,508",,,/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/moem_pipeline_form6
07/26/2022,Marathon Pipe Line,complete,Submittal,20220412-8003,04/12/2022,04/12/2022,Marathon Pipe Line LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"799,615,180","304,528,559","47,572,688","2,776,288","1,162,320,647",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/marathon_pipe_line_form6
07/26/2022,Marathon Offshore Pipeline,nodata - name not on description,,,,,,,,,,,,,,
07/26/2022,Mars Oil Pipeline,complete,Submittal,20220426-8000,04/26/2022,04/26/2022,Mars Oil Pipeline Company LLC submits FERC Form 6 report for 2021/Q4,Report/Form | Form 6 - Annual Report of Oil Pipeline Companies,Public,Year/Period of Report  End of: 2021/Q4,"197,904,588","87,299,460","9,285,305",,"157,202,916",/mnt/c/Drive/Projects/Python/Xenide/ms_projects/_output_dir/raw/downloaded_html/2022_07_26/ferc/mars_oil_pipeline_form6
